ID,visitDate,statusID,contact,purpose,locationID,description,spaceID
101,2024-03-01T09:30:00Z,1,1234567890,Business Meeting,1,Client meeting to discuss project milestones,1
102,2024-03-02T11:00:00Z,1,9876543210,Site Inspection,2,Routine maintenance check for office equipment,2
103,2024-03-03T14:00:00Z,3,1231231234,Sales Visit,3,Presenting products and solutions to clients,3
104,2024-03-04T10:45:00Z,4,4567891230,Training Session,4,Workshop to enhance team skills,4
105,2024-03-05T13:00:00Z,3,7896541230,Networking Event,5,Connect and explore collaborations,5
106,2024-03-06T09:00:00Z,1,3216549870,Product Demo,6,Showcasing product features live,6
107,2024-03-07T15:30:00Z,2,1472583690,Consultation,7,Advisory session with tailored strategies,7
108,2024-03-08T10:15:00Z,3,9638527410,Team Building,8,Activities to boost teamwork and morale,8
109,2024-03-09T14:45:00Z,1,2581473690,Partnership Meeting,9,Facility tour for prospective partners,9
110,2024-03-10T12:00:00Z,4,3692581470,Investor Pitch,10,Presentation of business potential to investors,10



